apk,cls,method,sig,event,target_invoke,invoke_off,branch_srcs,direction,app_code,ev
com.defname.localshare_14.apk,io.netty.handler.ssl.SslContext,buildKeyManagerFactory,(Ljava/security/KeyStore;Ljava/lang/String;[CLjavax/net/ssl/KeyManagerFactory;)Ljavax/net/ssl/KeyManagerFactory;,KeyManagerFactorySpec_initEvent,Ljavax/net/ssl/KeyManagerFactory;.init:(Ljava/security/KeyStore;[C)V,0014,0005,forward,0,['KeyManagerFactorySpec_initEvent']
com.defname.localshare_14.apk,io.netty.handler.ssl.SslContext,buildTrustManagerFactory,([Ljava/security/cert/X509Certificate;Ljavax/net/ssl/TrustManagerFactory;Ljava/lang/String;)Ljavax/net/ssl/TrustManagerFactory;,TrustManagerFactorySpec_initEvent,Ljavax/net/ssl/TrustManagerFactory;.init:(Ljava/security/KeyStore;)V,0037,002a,forward,0,['TrustManagerFactorySpec_initEvent']
com.defname.localshare_14.apk,io.netty.handler.ssl.ReferenceCountedOpenSslContext,certChainToKeyManagerFactory,([Ljava/security/cert/X509Certificate;Ljava/security/PrivateKey;Ljava/lang/String;Ljava/lang/String;)Ljavax/net/ssl/KeyManagerFactory;,KeyManagerFactorySpec_initEvent,Ljavax/net/ssl/KeyManagerFactory;.init:(Ljava/security/KeyStore;[C)V,002d,001c,forward,0,['KeyManagerFactorySpec_initEvent']
com.ds.avare_404.apk,com.google.android.gms.measurement.internal.zzpg,zzaH,(Ljava/lang/String;J)Z,SecureRandomSpec_next1Event,Ljava/security/SecureRandom;.nextInt:(I)I,0bbd,0b85,forward,0,['SecureRandomSpec_next1Event']
com.etesync.syncadapter_20700.apk,org.conscrypt.CryptoUpcalls,signDigestWithPrivateKey,(Ljava/security/PrivateKey;[BLjava/lang/String;)[B,SignatureSpec_updateEvent,Ljava/security/Signature;.update:([B)V,0092,002e|0073,forward,0,['SignatureSpec_updateEvent']
com.etesync.syncadapter_20700.apk,org.conscrypt.OpenSSLX509CRL,verifyInternal,(Ljava/security/PublicKey;Ljava/lang/String;)V,SignatureSpec_i4Event,Ljava/security/Signature;.initVerify:(Ljava/security/PublicKey;)V,001d,0015,forward,0,['SignatureSpec_i4Event']
com.etesync.syncadapter_20700.apk,org.conscrypt.OpenSSLX509Certificate,verifyInternal,(Ljava/security/PublicKey;Ljava/lang/String;)V,SignatureSpec_i4Event,Ljava/security/Signature;.initVerify:(Ljava/security/PublicKey;)V,001b,000f,forward,0,['SignatureSpec_i4Event']
com.etesync.syncadapter_20700.apk,org.conscrypt.OpenSSLX509Certificate,verify,(Ljava/security/PublicKey;Ljava/security/Provider;)V,SignatureSpec_i4Event,Ljava/security/Signature;.initVerify:(Ljava/security/PublicKey;)V,002e,0022,forward,0,['SignatureSpec_i4Event']
com.gasperpintar.smokingtracker_12.apk,org.apache.poi.poifs.crypt.CryptoFunctions,getCipher,(Ljava/security/Key;Lorg/apache/poi/poifs/crypt/CipherAlgorithm;Lorg/apache/poi/poifs/crypt/ChainingMode;[BILjava/lang/String;)Ljavax/crypto/Cipher;,IvChainJunctionSpec_useEvent|CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;Ljava/security/spec/AlgorithmParameterSpec;)V,00be,00af,forward,0,"['IvChainJunctionSpec_useEvent', 'CipherSpec_i2Event']"
com.gasperpintar.smokingtracker_12.apk,org.apache.poi.poifs.crypt.agile.AgileDecryptor,initCipherForBlock,(Ljavax/crypto/Cipher;IZLorg/apache/poi/poifs/crypt/EncryptionInfo;Ljavax/crypto/SecretKey;I)Ljavax/crypto/Cipher;,IvChainJunctionSpec_useEvent|CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;Ljava/security/spec/AlgorithmParameterSpec;)V,006d,005e,forward,0,"['IvChainJunctionSpec_useEvent', 'CipherSpec_i2Event']"
com.gasperpintar.smokingtracker_12.apk,org.apache.poi.poifs.crypt.binaryrc4.BinaryRC4Decryptor,initCipherForBlock,(Ljavax/crypto/Cipher;ILorg/apache/poi/poifs/crypt/EncryptionInfo;Ljavax/crypto/SecretKey;I)Ljavax/crypto/Cipher;,CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;)V,003e,002b,forward,0,['CipherSpec_i2Event']
com.gasperpintar.smokingtracker_12.apk,org.apache.poi.poifs.crypt.cryptoapi.CryptoAPIDecryptor,initCipherForBlock,(Ljavax/crypto/Cipher;ILorg/apache/poi/poifs/crypt/EncryptionInfo;Ljavax/crypto/SecretKey;I)Ljavax/crypto/Cipher;,CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;)V,0057,0048,forward,0,['CipherSpec_i2Event']
com.ivanovsky.passnotes_11700.apk,com.ivanovsky.passnotes.domain.PasswordBuilder,pickRandomChar,(Ljava/util/List;Ljava/security/SecureRandom;)C,SecureRandomSpec_next1Event,Ljava/security/SecureRandom;.nextInt:(I)I,28,0011,forward,1,['SecureRandomSpec_next1Event']
com.ivanovsky.passnotes_11700.apk,com.jcraft.jsch.jce.ARCFOUR128,init,(I[B[B)V,CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;)V,33,002e,forward,0,['CipherSpec_i2Event']
com.ivanovsky.passnotes_11700.apk,com.jcraft.jsch.jce.ARCFOUR256,init,(I[B[B)V,CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;)V,33,002e,forward,0,['CipherSpec_i2Event']
com.ivanovsky.passnotes_11700.apk,com.jcraft.jsch.jce.ARCFOUR,init,(I[B[B)V,CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;)V,33,002e,forward,0,['CipherSpec_i2Event']
com.leekleak.trafficlight_38.apk,ads_mobile_sdk.dg,a,(Ljava/nio/ByteBuffer;Ljava/util/HashMap;Ljava/security/cert/CertificateFactory;)[Ljava/security/cert/X509Certificate;,SignatureSpec_updateEvent,Ljava/security/Signature;.update:(Ljava/nio/ByteBuffer;)V,149,141,forward,0,['SignatureSpec_updateEvent']
com.owncloud.android_48000100.apk,com.owncloud.android.presentation.security.biometric.BiometricViewModel,generateAndStoreKey,()V,KeyStoreSpec_loadEvent,Ljava/security/KeyStore;.load:(Ljava/security/KeyStore$LoadStoreParameter;)V,004a,003f,forward,1,['KeyStoreSpec_loadEvent']
com.owncloud.android_48000100.apk,com.owncloud.android.presentation.security.biometric.BiometricViewModel,initCipher,()Ljavax/crypto/Cipher;,KeyStoreSpec_loadEvent,Ljava/security/KeyStore;.load:(Ljava/security/KeyStore$LoadStoreParameter;)V,0035,002c,forward,1,['KeyStoreSpec_loadEvent']
com.serwylo.retrowars_70.apk,io.netty.handler.ssl.SslContext,buildKeyManagerFactory,(Ljava/security/KeyStore;Ljava/lang/String;[CLjavax/net/ssl/KeyManagerFactory;)Ljavax/net/ssl/KeyManagerFactory;,KeyManagerFactorySpec_initEvent,Ljavax/net/ssl/KeyManagerFactory;.init:(Ljava/security/KeyStore;[C)V,14,0005,forward,0,['KeyManagerFactorySpec_initEvent']
com.serwylo.retrowars_70.apk,io.netty.handler.ssl.SslContext,buildTrustManagerFactory,([Ljava/security/cert/X509Certificate;Ljavax/net/ssl/TrustManagerFactory;Ljava/lang/String;)Ljavax/net/ssl/TrustManagerFactory;,TrustManagerFactorySpec_initEvent,Ljavax/net/ssl/TrustManagerFactory;.init:(Ljava/security/KeyStore;)V,37,002a,forward,0,['TrustManagerFactorySpec_initEvent']
com.serwylo.retrowars_70.apk,io.netty.handler.ssl.ReferenceCountedOpenSslClientContext,newSessionContext,(Lio/netty/handler/ssl/ReferenceCountedOpenSslContext;JLio/netty/handler/ssl/OpenSslEngineMap;[Ljava/security/cert/X509Certificate;Ljavax/net/ssl/TrustManagerFactory;[Ljava/security/cert/X509Certificate;Ljava/security/PrivateKey;Ljava/lang/String;Ljavax/net/ssl/KeyManagerFactory;Ljava/lang/String;JJ)Lio/netty/handler/ssl/OpenSslSessionContext;,KeyManagerFactorySpec_initEvent,Ljavax/net/ssl/KeyManagerFactory;.init:(Ljava/security/KeyStore;[C)V,90,007f,forward,0,['KeyManagerFactorySpec_initEvent']
com.serwylo.retrowars_70.apk,io.netty.handler.ssl.ReferenceCountedOpenSslServerContext,newSessionContext,(Lio/netty/handler/ssl/ReferenceCountedOpenSslContext;JLio/netty/handler/ssl/OpenSslEngineMap;[Ljava/security/cert/X509Certificate;Ljavax/net/ssl/TrustManagerFactory;[Ljava/security/cert/X509Certificate;Ljava/security/PrivateKey;Ljava/lang/String;Ljavax/net/ssl/KeyManagerFactory;Ljava/lang/String;JJ)Lio/netty/handler/ssl/OpenSslServerSessionContext;,KeyManagerFactorySpec_initEvent,Ljavax/net/ssl/KeyManagerFactory;.init:(Ljava/security/KeyStore;[C)V,69,0058,forward,0,['KeyManagerFactorySpec_initEvent']
com.sshborg_18.apk,org.bouncycastle.jcajce.provider.keystore.pkcs12.PKCS12KeyStoreSpi,createCipher,(I[CLorg/bouncycastle/asn1/x509/AlgorithmIdentifier;)Ljavax/crypto/Cipher;,IvChainJunctionSpec_useEvent|CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;Ljava/security/spec/AlgorithmParameterSpec;)V,00a8,00ca,backward,0,"['IvChainJunctionSpec_useEvent', 'CipherSpec_i2Event']"
com.sshborg_18.apk,org.bouncycastle.jce.PKCS10CertificationRequest,<init>,(Ljava/lang/String;Lorg/bouncycastle/asn1/x509/X509Name;Ljava/security/PublicKey;Lorg/bouncycastle/asn1/ASN1Set;Ljava/security/PrivateKey;Ljava/lang/String;)V,SignatureSpec_i1Event,Ljava/security/Signature;.initSign:(Ljava/security/PrivateKey;)V,007c,0074,forward,0,['SignatureSpec_i1Event']
com.sshborg_18.apk,org.bouncycastle.jce.netscape.NetscapeCertRequest,sign,(Ljava/security/PrivateKey;Ljava/security/SecureRandom;)V,SignatureSpec_i1Event,Ljava/security/Signature;.initSign:(Ljava/security/PrivateKey;)V,0021,0015,forward,0,['SignatureSpec_i1Event']
com.sshborg_18.apk,com.jcraft.jsch.jce.ARCFOUR128,init,(I[B[B)V,CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;)V,002d,0028,forward,0,['CipherSpec_i2Event']
com.sshborg_18.apk,com.jcraft.jsch.jce.ARCFOUR256,init,(I[B[B)V,CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;)V,002d,0028,forward,0,['CipherSpec_i2Event']
com.sshborg_18.apk,com.jcraft.jsch.jce.ARCFOUR,init,(I[B[B)V,CipherSpec_i2Event,Ljavax/crypto/Cipher;.init:(ILjava/security/Key;)V,002c,0027,forward,0,['CipherSpec_i2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.djb.Curve25519Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,0024,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.gm.SM2P256V1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001b,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP128R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001a,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP160R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001a,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP160R2Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001a,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP192K1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001a,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP192R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001a,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP224K1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001a,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP224R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001a,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP256K1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001b,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP256R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001b,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP384R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,001b,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.math.ec.custom.sec.SecP521R1Field,random,(Ljava/security/SecureRandom;[I)V,SecureRandomSpec_next2Event,Ljava/security/SecureRandom;.nextBytes:([B)V,000c,0023,backward,0,['SecureRandomSpec_next2Event']
com.sshborg_18.apk,org.bouncycastle.x509.X509Util,calculateSignature,(Lorg/bouncycastle/asn1/ASN1ObjectIdentifier;Ljava/lang/String;Ljava/lang/String;Ljava/security/PrivateKey;Ljava/security/SecureRandom;Lorg/bouncycastle/asn1/ASN1Encodable;)[B,SignatureSpec_i1Event,Ljava/security/Signature;.initSign:(Ljava/security/PrivateKey;)V,0017,000b,forward,0,['SignatureSpec_i1Event']
com.sshborg_18.apk,org.bouncycastle.x509.X509Util,calculateSignature,(Lorg/bouncycastle/asn1/ASN1ObjectIdentifier;Ljava/lang/String;Ljava/security/PrivateKey;Ljava/security/SecureRandom;Lorg/bouncycastle/asn1/ASN1Encodable;)[B,SignatureSpec_i1Event,Ljava/security/Signature;.initSign:(Ljava/security/PrivateKey;)V,0017,000b,forward,0,['SignatureSpec_i1Event']
com.surfaceocean.nexttraceroute_16.apk,org.xbill.DNS.DNSSEC,sign,(Ljava/security/PrivateKey;Ljava/security/PublicKey;I[BLjava/lang/String;)[B,SignatureSpec_i1Event,Ljava/security/Signature;.initSign:(Ljava/security/PrivateKey;)V,001b,000f,forward,0,['SignatureSpec_i1Event']
com.tananaev.passportreader_22.apk,org.bouncycastle.cert.crmf.jcajce.JceCRMFEncryptorBuilder$CRMFOutputEncryptor,<init>,(Lorg/bouncycastle/cert/crmf/jcajce/JceCRMFEncryptorBuilder;Lorg/bouncycastle/asn1/ASN1ObjectIdentifier;ILjava/security/SecureRandom;)V,KeyGeneratorSpec_initRandomSizeEvent,Ljavax/crypto/KeyGenerator;.init:(ILjava/security/SecureRandom;)V,0032,0026,forward,0,['KeyGeneratorSpec_initRandomSizeEvent']
com.tananaev.passportreader_22.apk,com.google.android.gms.internal.ads.zzasr,zzc,(Ljava/nio/ByteBuffer;Ljava/util/Map;Ljava/security/cert/CertificateFactory;)[Ljava/security/cert/X509Certificate;,SignatureSpec_updateEvent,Ljava/security/Signature;.update:(Ljava/nio/ByteBuffer;)V,0151,0149,forward,0,['SignatureSpec_updateEvent']
