apk,n_ident,n_records,states,exec_time_min/max,error_messages,cov_method_min/max,cov_method_mean,cov_act_min/max,cov_mop_min/max,mop_unique_min/max,cov_sig_distinct_min/max,viol_lines_min/max,viol_lines_sum,trace_steps_min/max,ev_crash_sum,ev_anr_sum,ev_verify_sum,ev_proc_own/all,ev_first_crash_s_min/max,ident_with_crash,C1_fail,C2_fail,C3_fail,C4_fail,C5_fail,ident_inadmissiveis,fails_all,arms_dead,sa_methods_reach_mop,sa_activities,sa_activities_reach_mop,sa_complete,flags
io.github.jd1378.otphelper_52000.apk,9,9,COMPLETEDx9,358/364,,33.1/47.6,42.6,100.0/100.0,35.7/58.6,0/0,3250/5055,0/0,0,209/418,0,0,0,0/0,,0,0,0,0,0,0,0,,,1532,5,3,True,
io.github.samolego.canta_225.apk,9,9,COMPLETEDx9,357/382,,38.8/62.8,50.5,100.0/100.0,39.5/64.6,0/0,1789/2405,0/0,0,258/541,0,0,0,0/0,,0,0,0,0,0,0,0,,,1166,4,3,True,
io.keepalive.android_133.apk,9,9,COMPLETEDx9,354/363,,12.6/24.6,21.6,66.7/100.0,17.7/33.3,0/0,180/416,0/0,0,226/373,0,0,0,0/0,,0,0,0,0,0,0,0,,,243,3,3,True,
io.treehouses.remote_6098.apk,9,9,COMPLETEDx9,361/366,,11.8/14.8,13.6,50.0/50.0,17.1/22.4,7/15,1376/2328,14/36,197,244/397,7,0,0,6/7,25/293,6,0,0,0,0,0,0,,,492,8,2,True,
it.danieleverducci.nextcloudmaps_9.apk,9,9,COMPLETEDx9,358/363,,2.1/2.1,2.1,33.3/33.3,0.0/0.0,0/0,165/165,0/0,0,228/621,0,0,0,0/0,,0,0,0,0,0,0,0,,,3,6,0,True,
it.niedermann.owncloud.notes_340000090.apk,9,9,COMPLETEDx9,361/366,,11.4/14.8,12.5,21.4/71.4,6.7/9.0,0/0,2141/2623,0/0,0,277/618,11,0,0,11/11,100/117,3,0,0,0,0,0,0,,,1110,15,10,,
jwtc.android.chess_283.apk,9,9,COMPLETEDx9,360/390,,27.0/44.3,33.4,35.0/75.0,0.0/100.0,0/7,714/1409,0/7,28,259/333,0,0,0,0/0,,0,0,0,0,0,0,0,,,4,22,0,True,
me.diamondforge.tokn_19.apk,9,10,COMPLETEDx9,355/365,,23.3/34.6,30.8,100.0/100.0,21.5/34.6,4/4,2483/3515,7/14,72,343/374,0,1,0,0/1,,0,0,0,0,0,0,0,,,3395,2,2,,
me.hackerchick.sharetoinputstick_26.apk,9,9,COMPLETEDx9,356/362,,58.9/60.0,59.9,100.0/100.0,31.2/31.2,0/0,230/235,0/0,0,248/571,0,0,0,0/0,,0,0,0,0,0,0,0,,,16,1,0,True,
me.mudkip.moememos_48.apk,9,9,COMPLETEDx9,358/372,,29.9/37.2,34.7,33.3/100.0,29.8/38.8,7/7,3764/4537,14/21,147,259/427,0,0,0,0/0,,0,0,0,0,0,0,0,,,2936,7,4,True,
me.rosuh.easywatermark_21000.apk,9,9,COMPLETEDx9,354/362,,27.5/61.7,38.4,100.0/100.0,23.5/63.1,0/0,1154/3889,0/0,0,211/493,0,0,0,0/0,,0,0,0,0,0,0,0,,,659,4,3,,
me.testcase.ognarviewer_25.apk,9,9,COMPLETEDx9,354/365,,41.6/50.0,45.8,50.0/100.0,46.7/66.7,0/3,2821/3559,0/6,18,180/245,0,0,0,0/0,,0,0,0,0,0,0,0,,,30,5,2,True,
me.timschneeberger.rootlessjamesdsp_51.apk,9,9,COMPLETEDx9,361/366,,32.0/37.5,35.5,27.3/72.7,33.2/37.6,0/12,3715/7144,0/12,39,248/331,0,0,0,0/0,,0,0,0,0,0,0,0,,,1074,17,16,True,
me.zhanghai.android.untracker_9.apk,9,9,COMPLETEDx9,357/363,,61.6/65.8,64.2,50.0/100.0,64.3/72.1,0/0,1065/1128,0/0,0,276/420,3,0,0,3/3,31/215,3,0,0,0,0,0,0,,,535,4,3,True,
net.adhikary.mrtbuddy_24.apk,9,9,COMPLETEDx9,360/366,,35.4/37.2,36.9,100.0/100.0,82.6/82.6,0/0,3729/4606,0/0,0,215/496,0,4,0,4/4,,0,0,0,0,0,0,0,,,46,2,0,True,
net.christianbeier.droidvnc_ng_60.apk,9,9,COMPLETEDx9,358/364,,43.9/46.5,45.7,71.4/71.4,0.0/0.0,0/0,250/265,0/0,0,236/298,0,0,0,0/0,,0,0,0,0,0,0,0,,,10,7,0,True,
net.gaast.giggity_769.apk,9,9,COMPLETEDx9,359/364,,61.9/71.4,67.5,75.0/100.0,100.0/100.0,5/5,889/1279,10/30,150,240/333,11,0,0,11/11,53/299,6,0,0,0,0,0,0,,,1,4,0,True,
net.osmtracker_73.apk,9,10,COMPLETEDx9,359/370,,28.8/50.2,41.6,36.8/68.4,0.0/83.3,0/3,440/1513,0/6,18,263/318,7,0,0,7/7,106/133,3,0,0,0,0,0,0,,,12,21,0,True,
net.pfiers.osmfocus_1009013.apk,9,9,COMPLETEDx9,352/359,,48.5/60.6,53.3,50.0/100.0,49.2/60.6,7/7,6959/8000,7/28,154,242/491,3,0,0,3/3,71/128,3,0,0,0,0,0,0,,,1499,6,4,,
net.phbwt.paperwork_1003007.apk,9,9,COMPLETEDx9,360/364,,40.0/56.4,49.3,50.0/100.0,39.2/63.9,12/17,2520/5445,24/63,417,227/326,1,0,0,1/1,140/140,1,0,0,0,0,0,0,,,1356,5,3,True,
nz.eloque.foss_wallet_111.apk,9,9,COMPLETEDx9,355/365,,23.6/30.9,27.7,50.0/100.0,20.0/29.0,0/0,2039/2412,0/0,0,245/334,0,1,0,1/1,,0,0,0,0,0,0,0,,,1608,4,3,True,
org.cry.otp_31.apk,9,10,COMPLETEDx9,355/363,,22.7/66.0,42.4,66.7/100.0,0.0/54.5,0/11,22/64,0/11,33,243/300,0,0,0,0/0,,0,0,0,0,0,0,0,,,11,3,0,True,
org.css_apps_m3.password_manager_16.apk,9,9,COMPLETEDx9,359/366,,5.5/11.0,7.0,66.7/100.0,5.1/11.2,0/34,98/196,0/60,131,224/296,0,0,0,0/0,,0,0,0,0,0,0,0,,,1002,5,4,True,
org.fedorahosted.freeotp_48.apk,9,9,COMPLETEDx9,358/366,,8.1/24.9,12.8,50.0/100.0,5.4/35.1,0/1,198/333,0/1,1,175/239,0,0,0,0/0,,0,0,0,0,0,0,0,,,37,4,2,True,
org.fossify.calendar_20.apk,9,9,COMPLETEDx9,356/369,,21.5/35.6,29.3,38.5/84.6,16.2/37.7,0/0,2634/3807,0/0,0,233/301,3,0,0,3/3,123/159,3,0,0,0,0,0,0,,,1397,21,19,True,
org.fossify.keyboard_14.apk,9,9,COMPLETEDx9,356/385,,26.2/35.8,30.3,100.0/100.0,25.1/40.2,0/0,1333/2187,0/0,0,146/347,0,0,0,0/0,,0,0,0,0,0,0,0,,,219,13,11,True,
org.fossify.math_10.apk,9,9,COMPLETEDx9,351/357,,60.5/66.0,64.0,85.7/100.0,78.5/86.6,0/0,2072/2607,0/0,0,245/411,12,0,0,12/12,120/152,3,0,0,0,0,0,0,,,149,16,14,True,
org.fossify.messages_20.apk,9,10,COMPLETEDx9,358/367,,5.0/5.2,5.1,27.3/27.3,3.7/3.7,0/0,500/505,0/0,0,2/5,0,0,0,0/0,,0,0,0,0,0,0,0,,,1222,19,17,True,
org.fossify.musicplayer_14.apk,9,9,COMPLETEDx9,357/365,,30.9/38.4,34.1,45.5/72.7,30.4/36.0,0/0,2641/4311,0/0,0,225/350,0,0,0,0/0,,0,0,0,0,0,0,0,,,985,19,17,True,
org.fossify.notes_13.apk,9,9,COMPLETEDx9,358/365,,28.0/44.9,37.1,60.0/100.0,27.9/42.7,0/10,1449/3645,0/15,75,289/354,0,0,0,0/0,,0,0,0,0,0,0,0,,,560,13,11,True,
org.fossify.paint_7.apk,9,9,COMPLETEDx9,359/367,,49.2/65.3,55.2,100.0/100.0,44.3/54.6,0/0,1140/2056,0/0,0,116/337,4,0,0,4/4,173/260,2,0,0,0,0,0,0,,,97,12,10,True,
org.fossify.voicerecorder_18.apk,9,9,COMPLETEDx9,359/364,,30.1/45.6,40.9,66.7/100.0,23.9/42.0,0/0,1780/3383,0/0,0,208/330,0,0,0,0/0,,0,0,0,0,0,0,0,,,238,14,12,True,
org.glpi.inventory.agent_39469.apk,9,9,COMPLETEDx9,359/364,,27.4/41.3,34.5,30.0/60.0,25.4/39.0,19/19,579/692,19/35,275,185/312,0,0,0,0/0,,0,0,0,0,0,0,0,,,59,10,4,,
org.hwyl.sexytopo_93.apk,9,9,COMPLETEDx9,356/365,,18.3/29.5,24.0,46.2/100.0,17.0/29.2,0/0,550/885,0/0,0,187/248,0,1,0,1/1,,0,0,0,0,0,0,0,,,288,14,4,True,
org.isoron.uhabits_20301.apk,9,9,COMPLETEDx9,349/356,,20.6/37.1,31.1,27.3/54.5,35.6/48.7,0/0,1148/1822,0/0,0,150/292,10,0,0,10/10,49/68,3,0,0,0,0,0,0,,,376,11,3,True,
org.jellyfin.mobile_2060499.apk,9,9,COMPLETEDx9,356/369,,13.2/13.3,13.3,100.0/100.0,15.6/15.9,7/7,1744/1755,14/35,182,243/393,0,0,0,0/0,,0,0,0,0,0,0,0,,,1211,1,1,,
org.liberty.android.fantastischmemo_241.apk,9,9,COMPLETEDx9,357/369,,23.5/43.7,35.9,26.3/47.4,60.3/96.6,0/7,1724/3100,0/14,35,251/381,6,0,0,6/6,139/256,4,0,0,0,0,0,0,,,58,19,0,True,
org.musicbrainz.picard.barcodescanner_38.apk,9,9,COMPLETEDx9,358/366,,45.1/66.7,53.6,60.0/100.0,51.6/75.8,7/7,774/2427,7/14,70,175/211,0,0,0,0/0,,0,0,0,0,0,0,0,,,62,6,2,True,
org.nqmgaming.aneko_34.apk,9,9,COMPLETEDx9,359/365,,58.9/68.1,65.5,50.0/100.0,57.9/70.7,5/12,5227/5839,5/24,127,281/472,0,0,0,0/0,,0,0,0,0,0,0,0,,,996,4,3,True,
org.nsh07.pomodoro_34.apk,9,9,COMPLETEDx9,358/365,,52.8/59.6,57.1,100.0/100.0,49.9/58.5,0/0,6425/7016,0/0,0,262/328,1,0,0,0/1,18/18,1,0,0,0,0,0,0,,,2377,4,2,True,
org.openhab.habdroid_589.apk,9,9,COMPLETEDx9,357/366,,11.8/32.5,24.5,25.0/62.5,14.9/35.8,25/41,2461/6518,55/142,976,197/303,16,2,0,18/18,11/156,9,0,0,0,0,0,0,,,1378,19,18,,
org.piepmeyer.gauguin_75.apk,9,9,COMPLETEDx9,358/365,,55.1/65.5,61.5,50.0/100.0,55.1/65.9,0/0,4384/6518,0/0,0,197/342,14,0,0,14/14,18/246,9,0,0,0,0,0,0,,,1197,8,7,True,
org.prauga.messages_8.apk,9,9,COMPLETEDx9,353/359,,31.7/38.7,35.7,58.3/100.0,30.0/34.1,0/0,7754/8664,0/0,0,328/521,0,0,0,0/0,,0,0,0,0,0,0,0,,,1917,12,11,,
org.quantumbadger.redreader_117.apk,9,9,COMPLETEDx9,365/378,,13.7/17.6,15.8,31.8/59.1,12.4/16.5,13/13,1785/3201,23/59,333,245/352,6,0,0,6/6,200/240,3,0,0,0,0,0,0,,,1795,23,23,True,
org.tomasino.stutter_29.apk,9,9,COMPLETEDx9,360/371,,53.9/63.5,59.6,100.0/100.0,46.2/61.1,7/7,1273/1423,14/28,189,186/395,0,0,0,0/0,,0,0,0,0,0,0,0,,,660,4,3,True,
org.totschnig.myexpenses_858.apk,9,9,COMPLETEDx9,362/377,,13.9/20.6,18.3,15.2/34.8,10.9/18.1,15/15,6034/8140,17/137,448,229/280,0,0,0,0/0,,0,0,0,0,0,0,0,,,8137,50,44,,
org.wikipedia_50595.apk,9,9,COMPLETEDx9,362/398,,17.5/20.8,19.5,12.3/26.0,14.3/19.0,12/12,12896/15480,12/36,208,182/256,6,0,0,6/6,130/146,3,0,0,0,0,0,0,,,13578,79,64,True,
rocks.poopjournal.metadataremover_20020.apk,9,9,COMPLETEDx9,359/373,,32.4/33.9,33.4,80.0/100.0,27.3/28.6,1/4,1482/4045,2/45,160,331/444,31,0,0,31/31,27/169,6,0,0,0,0,0,0,,,311,6,2,True,
se.arctosoft.vault_41.apk,9,9,COMPLETEDx9,360/366,,13.1/18.2,16.8,100.0/100.0,11.3/16.6,0/2,836/954,0/14,38,278/356,29,0,0,29/29,37/194,7,0,0,0,0,0,0,,,451,3,3,True,
swati4star.createpdf_110.apk,9,9,COMPLETEDx9,359/366,,22.6/25.5,24.2,40.0/60.0,11.0/15.0,0/0,1454/1559,0/0,0,314/343,18,0,0,18/18,60/83,3,0,0,0,0,0,0,,,200,12,1,,
systems.sieber.droid_scep_7.apk,9,9,COMPLETEDx9,351/367,,47.1/56.9,51.1,100.0/100.0,23.5/41.2,0/0,82/627,0/0,0,201/270,14,0,0,14/14,19/134,9,0,0,0,0,0,0,,,17,3,1,True,
ua.acclorite.book_story_14.apk,9,9,COMPLETEDx9,358/368,,25.9/39.5,31.1,50.0/100.0,24.8/41.1,0/0,3427/5258,0/0,0,261/342,0,0,0,0/0,,0,0,0,0,0,0,0,,,4524,3,2,True,
ua.com.radiokot.lnaddr2invoice_8.apk,9,9,COMPLETEDx9,355/362,,22.1/86.2,56.6,100.0/100.0,0.0/100.0,0/7,386/3590,0/14,70,203/302,0,0,0,0/0,,0,0,0,0,0,0,0,,,2,3,0,True,
ua.com.radiokot.photoprism_67.apk,9,9,COMPLETEDx9,356/364,,35.1/45.4,41.7,42.9/61.9,41.9/55.1,14/16,10550/13304,14/40,228,173/243,3,0,0,3/3,138/174,3,0,0,0,0,0,0,,,2279,21,20,True,
uk.org.ngo.squeezer_158.apk,9,10,COMPLETEDx9,356/365,,19.1/23.8,21.9,33.3/33.3,0.0/0.0,0/0,1087/1914,0/0,0,220/265,0,0,0,0/0,,0,0,0,0,0,0,0,,,5,15,0,,
vadimerenkov.aucards_21.apk,9,9,COMPLETEDx9,358/377,,53.3/66.3,60.1,50.0/100.0,47.8/63.8,0/0,2312/2675,0/0,0,221/349,16,0,0,16/16,63/253,4,0,0,0,0,0,0,,,1160,6,3,True,
