lib,cls,method,spec,code,event,sources,apks,lines,runs_nobs_only,exp,apk_list
other,ua.com.radiokot.photoprism.features.ext.key.activation.logic.ParseEnteredKeyUseCase,getIssuerPublicKey$lambda$0,KeyFactorySpec,KEYFACTORY-NOBS-01,genPublic,ParseEnteredKeyUseCase.kt:96,1,1,1,a key spec this instrumentation observed being built from key material,ua.com.radiokot.photoprism_67.apk
other,ua.com.radiokot.photoprism.features.ext.key.activation.logic.ParseEnteredKeyUseCase,getIssuerPublicKey$lambda$0,X509EncodedKeySpecSpec,X509ENCODEDKEYSPEC-NOBS-00,c1,ParseEnteredKeyUseCase.kt:97,1,1,1,key material the monitor observed being prepared,ua.com.radiokot.photoprism_67.apk
tink,com.google.crypto.tink.aead.internal.AesGcmJceUtil,getSecretKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AesGcmJceUtil.java:57,1,264,99,prepared key material,com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,InsecureNonceAesGcmJce.java:66,6,966,447,prepared key material,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,CipherSpec,CIPHER-NOBS-00,i2,InsecureNonceAesGcmJce.java:136,5,463,21,a key produced by one of the generators the rule names,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,InsecureNonceAesGcmJce.java:136,5,463,107,a GCMParameterSpec built over an observed randomized source,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,CipherSpec,CIPHER-NOBS-00,i2,InsecureNonceAesGcmJce.java:93,5,357,129,a key produced by one of the generators the rule names,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,getParams,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-01,c2,InsecureNonceAesGcmJce.java:159,5,463,107,a randomized byte[],app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.integration.android.AndroidKeystore$AeadImpl,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-01,c2,AndroidKeystore.java:175,1,264,99,a randomized byte[],com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.integration.android.AndroidKeystore$AeadImpl,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,AndroidKeystore.java:178,1,264,99,a GCMParameterSpec built over an observed randomized source,com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.integration.android.AndroidKeystoreAesGcm,decryptInternal,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-01,c2,AndroidKeystoreAesGcm.java:110;AndroidKeystoreAesGcm.java:113,8,1268,627,a randomized byte[],app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.celzero.bravedns_619.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.integration.android.AndroidKeystoreAesGcm,decryptInternal,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,AndroidKeystoreAesGcm.java:113;AndroidKeystoreAesGcm.java:116,8,1268,627,a GCMParameterSpec built over an observed randomized source,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.celzero.bravedns_619.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.prf.internal.PrfAesCmac,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,PrfAesCmac.java:76,1,264,99,prepared key material,com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.prf.internal.PrfAesCmac,compute,CipherSpec,CIPHER-NOBS-00,i2,PrfAesCmac.java:106,1,264,0,a key produced by one of the generators the rule names,com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.prf.internal.PrfAesCmac,generateSubKeys,CipherSpec,CIPHER-NOBS-00,i2,PrfAesCmac.java:155,1,264,0,a key produced by one of the generators the rule names,com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.subtle.AesGcmHkdfStreaming,deriveKeySpec,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AesGcmHkdfStreaming.java:192,1,34,34,prepared key material,org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.subtle.AesGcmHkdfStreaming,paramsForSegment,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,c1,AesGcmHkdfStreaming.java:183,1,34,34,a randomized byte[],org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamDecrypter,decryptSegment,CipherSpec,CIPHER-NOBS-00,i2,AesGcmHkdfStreaming.java:299,1,14,14,a key produced by one of the generators the rule names,org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamDecrypter,decryptSegment,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,AesGcmHkdfStreaming.java:299,1,14,14,a GCMParameterSpec built over an observed randomized source,org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamEncrypter,encryptSegment,CipherSpec,CIPHER-NOBS-00,i2,AesGcmHkdfStreaming.java:234,1,34,34,a key produced by one of the generators the rule names,org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamEncrypter,encryptSegment,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,AesGcmHkdfStreaming.java:234,1,34,34,a GCMParameterSpec built over an observed randomized source,org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.subtle.AesGcmJce,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AesGcmJce.java:54,1,214,99,prepared key material,org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.subtle.AesGcmJce,encrypt,CipherSpec,CIPHER-NOBS-00,i2,AesGcmJce.java:73,1,1,0,a key produced by one of the generators the rule names,org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,CipherSpec,CIPHER-NOBS-00,i2,AesSiv.java:143,1,68,33,a key produced by one of the generators the rule names,app.maskan.chat_90.apk
tink,com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,c1,AesSiv.java:143,1,68,33,a randomized byte[],app.maskan.chat_90.apk
tink,com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AesSiv.java:143,1,68,33,prepared key material,app.maskan.chat_90.apk
tink,com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,CipherSpec,CIPHER-NOBS-00,i2,AesSiv.java:109;AesSiv.java:119,7,966,448,a key produced by one of the generators the rule names,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,use,AesSiv.java:109;AesSiv.java:119,7,966,448,an IvParameterSpec built over an observed randomized iv,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,c1,AesSiv.java:109;AesSiv.java:119,7,966,448,a randomized byte[],app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AesSiv.java:109;AesSiv.java:119,7,967,448,prepared key material,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.subtle.AesSiv,encryptInternal,CipherSpec,CIPHER-NOBS-00,i2,AesSiv.java:191,1,264,42,a key produced by one of the generators the rule names,com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.subtle.AesSiv,encryptInternal,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,use,AesSiv.java:191,1,264,99,an IvParameterSpec built over an observed randomized iv,com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.subtle.AesSiv,encryptInternal,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,c1,AesSiv.java:191,1,264,99,a randomized byte[],com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.subtle.AesSiv,encryptInternal,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,AesSiv.java:191,1,264,99,prepared key material,com.hegocre.nextcloudpasswords_38.apk
tink,com.google.crypto.tink.subtle.Hkdf,computeHkdf,MacSpec,MAC-NOBS-00,i1,Hkdf.java:59;Hkdf.java:65,1,68,0,"a key observed coming from a key generator, a key store or a key specification",org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.subtle.Hkdf,computeHkdf,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,Hkdf.java:59;Hkdf.java:65,1,68,34,prepared key material,org.css_apps_m3.password_manager_16.apk
tink,com.google.crypto.tink.subtle.PrfAesCmac,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,PrfAesCmac.java:50;PrfAesCmac.java:57,7,1180,546,prepared key material,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.subtle.PrfAesCmac,compute,CipherSpec,CIPHER-NOBS-00,i2,PrfAesCmac.java:62;PrfAesCmac.java:69,7,967,0,a key produced by one of the generators the rule names,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
tink,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,CipherSpec,CIPHER-NOBS-00,i2,PrfAesCmac.java:103;PrfAesCmac.java:110,7,1180,0,a key produced by one of the generators the rule names,app.maskan.chat_90.apk;app.michaelwuensch.bitbanana_79.apk;com.afkanerd.deku_83.apk;com.tk.quicksearch_65.apk;dev.dettmer.simplenotes_41.apk;org.css_apps_m3.password_manager_16.apk;org.openhab.habdroid_589.apk
